"file","line","receiver","method","path_expression","explicit_middlewares"
"dev/import/greentarget-legacy/verify-multi-allocation-receipt.mjs","347","app","use","express.json()",""
"dev/import/greentarget-legacy/verify-multi-allocation-receipt.mjs","348","app","use","""/""",""
"server.js","38","app","use","async (req, res, next) => {
  // Check if the pool object itself exists and has the maintenanceMode property
  if (
    pool &&
    pool.pool.maintenanceMode &&
    !req.path.startsWith(""/api/backup"") && // Allow backup routes
    req.method !== ""OPTIONS"" // Allow CORS preflight
  ) {
    // Log maintenance mode activation
    // console.log(`Maintenance mode active. Request blocked: ${req.method} ${req.path}`);
    return res.status(503).json({
      error: ""Service temporarily unavailable"",
      message:
        ""System maintenance in progress. Please try again in a few moments."",
    });
  }
  next();
}",""
"server.js","74","app","use","cors(corsConfig)",""
"server.js","75","app","use","json({ limit: ""50mb"" })",""
"server.js","76","app","use","express.urlencoded({ extended: true, limit: ""50mb"" })",""
"server.js","79","app","use","express.static(path.join(__dirname, ""build""))",""
"server.js","199","app","get","""*""",""
"src/routes/accounting/account-codes.js","10","router","get","""/""",""
"src/routes/accounting/account-codes.js","115","router","get","""/hierarchy""",""
"src/routes/accounting/account-codes.js","134","router","get","""/search""",""
"src/routes/accounting/account-codes.js","169","router","get","""/children/:parentCode""",""
"src/routes/accounting/account-codes.js","195","router","get","""/:code/overview""",""
"src/routes/accounting/account-codes.js","452","router","get","""/:code""",""
"src/routes/accounting/account-codes.js","493","router","post","""/""",""
"src/routes/accounting/account-codes.js","607","router","put","""/:code""",""
"src/routes/accounting/account-codes.js","744","router","patch","""/:code/fs-note""",""
"src/routes/accounting/account-codes.js","795","router","delete","""/:code""",""
"src/routes/accounting/account-codes.js","884","router","post","""/import""",""
"src/routes/accounting/audit-exports.js","704","router","get","""/pack/:year""",""
"src/routes/accounting/audit-exports.js","807","router","get","""/:kind/:year""",""
"src/routes/accounting/bank-ins.js","18","router","get","""/next-rv""",""
"src/routes/accounting/bank-ins.js","39","router","get","""/pools""",""
"src/routes/accounting/bank-ins.js","56","router","get","""/""",""
"src/routes/accounting/bank-ins.js","132","router","get","""/:id""",""
"src/routes/accounting/bank-ins.js","166","router","post","""/""",""
"src/routes/accounting/bank-ins.js","185","router","post","""/drawing""",""
"src/routes/accounting/bank-ins.js","202","router","put","""/:id/cancel""",""
"src/routes/accounting/bank-statement.js","230","router","get","""/usage-counts""",""
"src/routes/accounting/bank-statement.js","254","router","get","""/:accountCode/range/:start/:end""",""
"src/routes/accounting/bank-statement.js","296","router","get","""/:accountCode/:year/:month""",""
"src/routes/accounting/debtors.js","39","router","get","""/""",""
"src/routes/accounting/debtors.js","436","router","get","""/statement/:customerId""",""
"src/routes/accounting/debtors.js","571","router","get","""/general-statement""",""
"src/routes/accounting/financial-reports.js","164","router","get","""/notes""",""
"src/routes/accounting/financial-reports.js","211","router","post","""/notes""",""
"src/routes/accounting/financial-reports.js","263","router","put","""/notes/:code""",""
"src/routes/accounting/financial-reports.js","318","router","delete","""/notes/:code""",""
"src/routes/accounting/financial-reports.js","356","router","post","""/assign-notes""",""
"src/routes/accounting/financial-reports.js","422","router","get","""/account-codes-with-notes""",""
"src/routes/accounting/financial-reports.js","466","router","get","""/closing-stock/:year/:month""",""
"src/routes/accounting/financial-reports.js","492","router","put","""/closing-stock/:year/:month""",""
"src/routes/accounting/financial-reports.js","555","router","get","""/trial-balance/:year/:month""",""
"src/routes/accounting/financial-reports.js","724","router","get","""/income-statement/:year/:month""",""
"src/routes/accounting/financial-reports.js","877","router","get","""/balance-sheet/:year/:month""",""
"src/routes/accounting/financial-reports.js","1104","router","get","""/cogm/:year/:month""",""
"src/routes/accounting/journal-entries.js","338","router","get","""/types""",""
"src/routes/accounting/journal-entries.js","360","router","get","""/""",""
"src/routes/accounting/journal-entries.js","476","router","get","""/next-reference/:type""",""
"src/routes/accounting/journal-entries.js","542","router","get","""/next-cheque-no""",""
"src/routes/accounting/journal-entries.js","585","router","get","""/cheque-usage""",""
"src/routes/accounting/journal-entries.js","605","router","get","""/:id""",""
"src/routes/accounting/journal-entries.js","774","router","get","""/:id/receipt-voucher""",""
"src/routes/accounting/journal-entries.js","947","router","post","""/""",""
